City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,jamestown,42.097,-79.2353,2.77,51,0,10.29,US,1678226377
1,port alfred,-33.5906,26.891,21.21,94,100,0.45,ZA,1678226205
2,alofi,-19.0595,-169.9187,24.94,22,75,3.09,NU,1678226199
3,ushuaia,-54.8,-68.3,10.81,58,75,3.09,AR,1678226175
4,markova,48.6758,24.4138,0.37,83,76,2.27,UA,1678226431
5,busselton,-33.65,115.3333,14.24,68,95,6.23,AU,1678226434
6,victoria,22.2855,114.1577,19.62,88,1,2.68,HK,1678226209
7,tongliao,43.6125,122.2653,-3.19,58,6,2.93,CN,1678226192
8,mahebourg,-20.4081,57.7,25.16,88,75,3.09,MU,1678226178
9,yellowknife,62.456,-114.3525,-15.71,66,75,4.12,CA,1678226183
10,xichang,27.8964,102.2634,11.36,78,44,0.76,CN,1678226437
11,rio grande,-32.035,-52.0986,27.06,88,3,3.82,BR,1678226289
12,ribeira grande,38.5167,-28.7,16.54,77,40,13.89,PT,1678226207
13,mar del plata,-38.0023,-57.5575,25.01,75,40,4.63,AR,1678226173
14,alta floresta,-9.8756,-56.0861,23.73,96,97,1.54,BR,1678226266
15,cape town,-33.9258,18.4232,21.32,73,0,4.12,ZA,1678226181
16,glenwood springs,39.5505,-107.3248,9.45,38,0,6.69,US,1678226438
17,belaya gora,68.5333,146.4167,-34.71,100,91,1.07,RU,1678226276
18,esperance,-33.8667,121.9,17.37,68,100,1.9,AU,1678226181
19,cherskiy,68.75,161.3,-34.63,97,39,1.36,RU,1678226180
20,mataura,-46.1927,168.8643,21.39,56,23,1.86,NZ,1678226143
21,beringovskiy,63.05,179.3167,-21.98,85,7,1.03,RU,1678226220
22,khatanga,71.9667,102.5,-37.42,100,96,1.95,RU,1678226154
23,ponta do sol,32.6667,-17.1,19.28,84,98,2.35,PT,1678226219
24,avarua,-21.2078,-159.775,30.03,79,75,6.17,CK,1678226179
25,sol-iletsk,51.1631,54.9918,-15.94,100,83,2.17,RU,1678226439
26,georgetown,5.4112,100.3354,26.96,78,20,3.09,MY,1678226114
27,taltal,-25.4,-70.4833,22.66,69,99,2.64,CL,1678226421
28,hithadhoo,-0.6,73.0833,28.04,74,20,5.41,MV,1678226205
29,punta arenas,-53.15,-70.9167,13.06,54,75,12.86,CL,1678226440
30,sao filipe,14.8961,-24.4956,23.51,72,0,2.26,CV,1678226280
31,rikitea,-23.1203,-134.9692,24.97,84,100,11.51,PF,1678226189
32,lasa,46.6166,10.7002,5.49,92,74,1.72,IT,1678226440
33,los llanos de aridane,28.6585,-17.9182,16.18,91,0,3.6,ES,1678226193
34,plouzane,48.3833,-4.6167,9.18,100,100,5.66,FR,1678226442
35,tautira,-17.7333,-149.15,26.41,81,16,5.83,PF,1678226336
36,fereydun kenar,36.6864,52.5225,9.6,88,17,3.24,IR,1678226442
37,hilo,19.7297,-155.09,27.38,80,75,6.17,US,1678225988
38,castro,-24.7911,-50.0119,19.42,81,83,2.61,BR,1678226175
39,clinton,42.587,-82.9199,6.01,48,0,6.17,US,1678226151
40,sioux lookout,50.1001,-91.917,-3.96,39,40,2.57,CA,1678226310
41,saldanha,-33.0117,17.9442,17.03,89,31,6.17,ZA,1678226218
42,cidreira,-30.1811,-50.2056,24.14,87,18,2.59,BR,1678226253
43,leningradskiy,69.3833,178.4167,-30.66,95,62,1.21,RU,1678226227
